Title,Retail DVD Price,NEW DVD PRICE,Retail DVD UPC,Blu-ray Price,NEW BLU RAY PRICE,Blu-ray UPC
The Art of the Short Film,$19.95,29.95,616892264309,n/a,,n/a
The Bothersome Man,$19.95,29.95,616892885726,n/a,,n/a
The Forest for the Trees,$19.95,29.95,616892697329,n/a,,n/a
The Great Match,$19.95,29.95,616892886525,n/a,,n/a
The Island,$19.95,29.95,616892905721,n/a,,n/a
The Man of the Year,$19.95,29.95,616892590422,n/a,,n/a
The Violin,$19.95,29.95,616892950622,n/a,,n/a
The Way I Spent the End of the World,$19.95,29.95,616892910824,n/a,,n/a
Viva Cuba,$19.95,29.95,616892899624,n/a,,n/a
Viva Laldjerie,$19.95,29.95,616892621126,n/a,,n/a
Who's Camus Anyway?,$19.95,29.95,616892803522,n/a,,n/a
Witnesses,$19.95,29.95,616892616221,n/a,,n/a
Wolves in the Snow,$19.95,29.95,616892601524,n/a,,n/a
"1,000 Times Good Night",$24.95,29.95,616892188360,n/a,,n/a
1944,$24.95,29.95,859686006178,n/a,,n/a
1981,$24.95,29.95,616892087410,n/a,,n/a
200 Meters,$24.95,29.95,850021115845,n/a,,n/a
"2 Autumns, 3 Winters",$24.95,29.95,616892187363,n/a,,n/a
37,$24.95,29.95,859686006031,n/a,,n/a
Aalto,$24.95,29.95,850021115425,n/a,,n/a
A Bag of Marbles,$24.95,29.95,850021115906,n/a,,n/a
Abigail Harm,$24.95,29.95,850021115395,n/a,,n/a
A Bottle in the Gaza Sea,$24.95,29.95,616892185666,n/a,,n/a
A Call Girl,$24.95,29.95,616892077619,n/a,,n/a
Advocate,$24.95,29.95,850003924755,n/a,,n/a
A Girl Missing,$24.95,29.95,850003924984,n/a,,n/a
A Good Woman is Hard to Find,$24.95,29.95,850003924793,n/a,,n/a
Alamar,$24.95,29.95,616892081265,n/a,,n/a
A Life for Ballet,$24.95,29.95,896137001351,n/a,,n/a
A Life in Dirty Movies,$24.95,29.95,857692005048,n/a,,n/a
Aliyah,$24.95,29.95,616892185567,n/a,,n/a
All Eyes Off Me,$24.95,29.95,850021115869,n/a,,n/a
All You Ever Wished For,$24.95,29.95,850003924076,n/a,,n/a
Alone With Her Dreams,$24.95,29.95,896137001634,n/a,,n/a
A Long Way From Home,$24.95,29.95,896137001337,n/a,,n/a
Amador,$24.95,29.95,616892183969,n/a,,n/a
Ambrosia,$24.95,29.95,857692005642,n/a,,n/a
Amerika Square,$24.95,29.95,896137001443,n/a,,n/a
Amnesia,$24.95,29.95,859686006116,n/a,,n/a
Amorous,$24.95,29.95,857692005413,n/a,,n/a
An Afghan Love Story,$24.95,29.95,859686006833,n/a,,n/a
And They Call It Summer,$24.95,29.95,857692005628,n/a,,n/a
Angry Inuk,$24.95,29.95,859686006468,n/a,,n/a
An Israeli Love Story,$24.95,29.95,850003924335,n/a,,n/a
Antonio Lopez 1970: Sex Fashion & Disco,$24.95,29.95,859686006673,n/a,,n/a
Apaches,$24.95,29.95,857692005062,n/a,,n/a
App,$24.95,29.95,616892188063,n/a,,n/a
Apprentice,$24.95,29.95,859686006123,n/a,,n/a
Arcadia,$24.95,29.95,616892186366,n/a,,n/a
Architects of Denial,$24.95,29.95,859686006505,n/a,,n/a
A Regular Woman,$24.95,29.95,896137001610,n/a,,n/a
A Screaming Man,$24.95,29.95,616892100768,n/a,,n/a
As If I Am Not There,$24.95,29.95,896137001405,n/a,,n/a
Atheist America,$24.95,29.95,859686006338,n/a,,n/a
A Time For Dying,$24.95,29.95,896137001528,n/a,,n/a
A Tramway in Jerusalem,$24.95,29.95,850003924854,n/a,,n/a
"A White, White Day",$24.95,29.95,850003924632,n/a,,n/a
Bad Day to Go Fishing,$24.95,29.95,616892121763,n/a,,n/a
Bad Lucky Goat,$24.95,29.95,859686006413,n/a,,n/a
Bad Roads,$24.95,29.95,850021115746,n/a,,n/a
Beate,$24.95,29.95,896137001658,n/a,,n/a
Beautiful Darling,$24.95,29.95,896137001115,n/a,,n/a
Before Your Eyes,$24.95,29.95,616892166313,n/a,,n/a
Being Thunder,$24.95,29.95,850021115814,n/a,,n/a
Belle and Sebastian,$24.95,29.95,857692005222,n/a,,n/a
Ben X,$24.95,29.95,616892966425,n/a,,n/a
Beowulf,$24.95,29.95,857692005307,n/a,,n/a
Between Land and Sea,$24.95,29.95,859686006475,n/a,,n/a
Bite Size,$24.95,29.95,616892286943,n/a,,n/a
Blush,$24.95,29.95,859686006062,n/a,,n/a
Bomber,$24.95,29.95,616892093862,n/a,,n/a
Bosch: The Garden of Dreams,$24.95,29.95,850003924182,n/a,,n/a
Botero,$24.95,29.95,896137001603,n/a,,n/a
Breathe,$24.95,29.95,857692005550,n/a,,n/a
Broken,$24.95,29.95,616892185963,n/a,,n/a
Bye Bye Germany,$24.95,29.95,859686006529,n/a,,n/a
Caged Birds,$24.95,29.95,896137001726,n/a,,n/a
Calm at Sea,$24.95,29.95,896137001412,n/a,,n/a
Cam Girl,$24.95,29.95,850003924151,n/a,,n/a
Cannibal,$24.95,29.95,616892188162,n/a,,n/a
Carmilla,$24.95,29.95,850003924922,n/a,,n/a
"Cassandro, the Exotico!",$24.95,29.95,850003924311,n/a,,n/a
Clandestine Childhood,$24.95,29.95,616892185468,n/a,,n/a
Coby,$24.95,29.95,859686006482,n/a,,n/a
Cocoon,$24.95,29.95,850021115616,n/a,,n/a
Comedy Confessions,$24.95,29.95,850021115661,n/a,,n/a
Come Undone,$24.95,29.95,616892094869,n/a,,n/a
Complicity,$24.95,29.95,850003924502,n/a,,n/a
Conduct! Every Move Counts,$24.95,29.95,859686006314,n/a,,n/a
Cooking at the World's End,$24.95,29.95,859686006079,n/a,,n/a
Corpo Celeste,$24.95,29.95,616892182467,n/a,,n/a
Cruel,$24.95,29.95,857692005536,n/a,,n/a
Crumbs,$24.95,29.95,845637002467,n/a,,n/a
Curiosa,$24.95,29.95,850021115470,n/a,,n/a
Dark Fortune,$24.95,29.95,896137001504,n/a,,n/a
Day and Night,$24.95,29.95,857692005611,n/a,,n/a
Days and Clouds,$24.95,29.95,616892966326,n/a,,n/a
Dead Pigs,$24.95,29.95,850021115319,n/a,,n/a
Dede,$24.95,29.95,896137001511,n/a,,n/a
Documented,$24.95,29.95,859686006376,n/a,,n/a
Donbass,$24.95,29.95,850021115722,n/a,,n/a
East Jerusalem West Jerusalem,$24.95,29.95,857692005659,n/a,,n/a
Egon Schiele: Death and the Maiden,$24.95,29.95,859686006734,n/a,,n/a
Eldorado,$24.95,29.95,616892975823,n/a,,n/a
Eva Doesn't Sleep,$24.95,29.95,859686006017,n/a,,n/a
Famous Nathan,$24.95,29.95,857692005321,n/a,,n/a
Fanny: The Right to Rock,$24.95,29.95,850021115708,n/a,,n/a
Far Western,$24.95,29.95,682500395604,n/a,,n/a
Fear,$24.95,29.95,850021115586,n/a,,n/a
